id,especialidade,especialidade_num_edital,estado,estado_nome,entidade,cidade,instituicao,numero_total_vagas,numero_vagas_militares,numero_vagas_livres,valor_instituicao,valor_instituicao_display,nota_minima,nota_minima_display,pesos_notas_finais,programa_governo,pagina_origem_pdf
1,Anestesiologia,1,RS,Rio Grande do Sul,AMRIGS,Caxias do Sul,Hospital Virvi Ramos,1,0,1,500.0,"500,00",50.0,50.00,Primeira Etapa 90% (TO) Segunda Etapa 10% (Currículo 60% e Arguição 40%),Não informado,1
2,Anestesiologia,1,RS,Rio Grande do Sul,AMRIGS,Cruz Alta,Hospital São Vicente de Paulo de Cruz Alta,2,0,2,350.0,"350,00",50.0,50.00,Primeira Etapa 90% (TO) Segunda Etapa 10% (Currículo 50% e Arguição 50%),Não informado,1
3,Anestesiologia,1,RS,Rio Grande do Sul,AMRIGS,Erechim,Hospital Santa Terezinha de Erechim,3,0,3,300.0,"300,00",50.0,50.00,Primeira Etapa 100% (TO),PRMGFC,1
4,Anestesiologia,1,RS,Rio Grande do Sul,AMRIGS,Erechim,Hospital UNIMED Erechim,1,0,1,350.0,"350,00",50.0,50.00,Primeira Etapa 90% (TO) Segunda Etapa 10% (Currículo),PRMGFC,1
5,Anestesiologia,1,RS,Rio Grande do Sul,AMRIGS,Lajeado,Hospital Bruno Born,3,0,3,350.0,"350,00",50.0,50.00,Primeira Etapa 90% (TO) Segunda Etapa 10% (Currículo 90% e Arguição 10%),PRMGFC,1
6,Anestesiologia,1,RS,Rio Grande do Sul,AMRIGS,Passo Fundo,Hospital de Clínicas de Passo Fundo (UFFS),1,0,1,410.0,"410,00",50.0,50.00,Primeira Etapa 100% (TO),PRMGFC,1
7,Anestesiologia,1,RS,Rio Grande do Sul,AMRIGS,Passo Fundo,Hospital São Vicente de Paulo (UFFS),1,0,1,410.0,"410,00",50.0,50.00,Primeira Etapa 100% (TO),PRMGFC,2
8,Anestesiologia,1,RS,Rio Grande do Sul,AMRIGS,Pelotas,Universidade Católica de Pelotas,2,0,2,280.0,"280,00",50.0,50.00,Primeira Etapa 90% (TO) Segunda Etapa 10% (Currículo),PRMGFC,2
9,Anestesiologia,1,RS,Rio Grande do Sul,AMRIGS,Porto Alegre,Hospital Ernesto Dornelles,4,0,4,500.0,"500,00",50.0,50.00,Primeira Etapa 90% (TO) Segunda Etapa 10% (Arguição),PRMGFC,2
10,Anestesiologia,1,RS,Rio Grande do Sul,AMRIGS,Porto Alegre,Hospital Nossa Senhora da Conceição,4,0,4,300.0,"300,00",50.0,50.00,Primeira Etapa 90% (TO) Segunda Etapa 10% (Currículo),PRMGFC,2
11,Anestesiologia,1,RS,Rio Grande do Sul,AMRIGS,Porto Alegre,Hospital São Lucas da PUCRS,2,1,1,500.0,"500,00",50.0,50.00,Primeira Etapa 90% (TO) Segunda Etapa 10% (Currículo),PRMGFC,2
12,Anestesiologia,1,RS,Rio Grande do Sul,AMRIGS,Porto Alegre,IC/FUC - Instituto de Cardiologia do Rio Grande do Sul - Fundação Universitária de Cardiologia,3,0,3,700.0,"700,00",50.0,50.00,Primeira Etapa 90% (TO) 50% e Arguição 50%),PRMGFC,2
13,Anestesiologia,1,RS,Rio Grande do Sul,AMRIGS,Porto Alegre,UNISINOS - Porto Alegre,2,0,2,350.0,"350,00",55.0,55.00,Primeira Etapa 100% (TO),Não informado,2
14,Anestesiologia,1,RS,Rio Grande do Sul,AMRIGS,Santa Maria,Universidade Federal de Santa Maria,6,1,5,150.0,"150,00",50.0,50.00,Primeira Etapa 90% (TO) Segunda Etapa 10% (Currículo 50% e Arguição 50%),PRMGFC,2
15,Anestesiologia,1,RS,Rio Grande do Sul,AMRIGS,Tramandaí,Hospital de Tramandaí,4,0,4,1800.0,"1800,00",50.0,50.00,Primeira Etapa 90% (TO) Segunda Etapa 10% (Currículo),Não informado,2
16,Cirurgia Cardiovascular,2,RS,Rio Grande do Sul,AMRIGS,Porto Alegre,Hospital Nossa Senhora da Conceição,1,0,1,300.0,"300,00",50.0,50.00,Primeira Etapa 90% (TO) Segunda Etapa 10% (Currículo),PRMGFC,3
17,Cirurgia Cardiovascular,2,RS,Rio Grande do Sul,AMRIGS,Porto Alegre,Hospital São Lucas da PUCRS,1,0,1,500.0,"500,00",50.0,50.00,Primeira Etapa 90% (TO) Segunda Etapa 10% (Currículo),PRMGFC,3
18,Cirurgia Cardiovascular,2,RS,Rio Grande do Sul,AMRIGS,Porto Alegre,IC/FUC - Instituto de Cardiologia do Rio Grande do Sul - Fundação Universitária de Cardiologia,3,0,3,700.0,"700,00",50.0,50.00,Primeira Etapa 90% (TO) 50% e Arguição 50%),PRMGFC,3
19,Clínica Médica,3,RS,Rio Grande do Sul,AMRIGS,Alegrete,Secretaria Municipal de Saúde de Alegrete,2,0,2,150.0,"150,00",50.0,50.00,Primeira Etapa 90% (TO) Segunda Etapa 10% (Currículo 50% e Arguição 50%),PRMGFC,3
20,Clínica Médica,3,RS,Rio Grande do Sul,AMRIGS,Bagé,Hospital Santa Casa de Caridade de Bagé,4,0,4,80.0,"80,00",50.0,50.00,Primeira Etapa 90% (TO) Segunda Etapa 10% (Currículo 50% e Arguição 50%),Não informado,3
21,Clínica Médica,3,RS,Rio Grande do Sul,AMRIGS,Bento Gonçalves,Associação Dr. Bartholomeu Tacchini - Hospital Tacchini,4,0,4,250.0,"250,00",50.0,50.00,Primeira Etapa 90% (TO) 50% e Arguição 50%),Não informado,3
22,Clínica Médica,3,RS,Rio Grande do Sul,AMRIGS,Cachoeira do Sul,Hospital de Caridade e Beneficência de Cachoeira do Sul,4,0,4,150.0,"150,00",50.0,50.00,Primeira Etapa 90% (TO) 50% e Arguição 50%),Não informado,4
23,Clínica Médica,3,RS,Rio Grande do Sul,AMRIGS,Canoas,Hospital Nossa Senhora das Graças,2,0,2,450.0,"450,00",50.0,50.00,Primeira Etapa 90% (TO) Segunda Etapa 10% (Arguição),Não informado,4
24,Clínica Médica,3,RS,Rio Grande do Sul,AMRIGS,Carazinho,Hospital de Clínicas de Carazinho (UFFS),4,0,4,410.0,"410,00",50.0,50.00,Primeira Etapa 100% (TO),PRMGFC,4
25,Clínica Médica,3,RS,Rio Grande do Sul,AMRIGS,Caxias do Sul,Hospital Geral de Caxias do Sul,9,0,9,400.0,"400,00",50.0,50.00,Primeira Etapa 90% (TO) Segunda Etapa 10% (Currículo),Não informado,4
